"","Geneid","gene_name","M1_1","M1_2","M1_3","M2_1","M2_2","M2_3"
"1","ENSG00000223972","DDX11L1",0,0,1,0,0,0
"2","ENSG00000227232","WASH7P",42,107,49,193,46,121
"3","ENSG00000243485","MIR1302-10",0,0,0,0,0,0
"4","ENSG00000237613","FAM138A",0,0,0,0,0,0
"5","ENSG00000268020","OR4G4P",0,0,0,0,0,0
"6","ENSG00000240361","OR4G11P",0,0,0,0,0,0
"7","ENSG00000186092","OR4F5",0,0,0,0,0,0
"8","ENSG00000238009","RP11-34P13.7",0,0,0,3,0,0
"9","ENSG00000239945","RP11-34P13.8",0,0,0,0,0,0
"10","ENSG00000233750","CICP27",0,1,0,0,0,1
"11","ENSG00000237683","AL627309.1",192,388,111,103,36,34
"12","ENSG00000268903","RP11-34P13.15",2,1,0,0,0,0
"13","ENSG00000269981","RP11-34P13.16",0,0,0,0,0,0
"14","ENSG00000239906","RP11-34P13.14",3,1,0,0,0,0
"15","ENSG00000241860","RP11-34P13.13",18,36,12,9,6,17
"16","ENSG00000222623","RNU6-1100P",0,0,0,0,0,0
"17","ENSG00000241599","RP11-34P13.9",0,0,0,0,0,0
"18","ENSG00000228463","AP006222.2",21,26,3,18,14,9
"19","ENSG00000241670","AP006222.1",0,0,0,0,0,0
"20","ENSG00000237094","RP4-669L17.10",3,2,2,3,1,5
"21","ENSG00000250575","RP4-669L17.8",0,0,0,0,0,1
"22","ENSG00000233653","CICP7",0,0,0,1,0,0
"23","ENSG00000224813","RP4-669L17.4",0,0,0,0,0,0
"24","ENSG00000235249","OR4F29",0,0,0,0,0,0
"25","ENSG00000269732","WBP1LP7",0,0,0,0,0,0
"26","ENSG00000256186","AL732372.1",0,0,0,0,0,0
"27","ENSG00000236601","RP4-669L17.2",0,0,0,0,0,0
"28","ENSG00000236743","RP5-857K21.15",0,0,0,0,0,0
"29","ENSG00000236679","RP4-669L17.1",0,0,0,1,0,0
"30","ENSG00000231709","RP5-857K21.1",0,0,0,0,0,1
"31","ENSG00000235146","RP5-857K21.2",0,0,0,0,0,1
"32","ENSG00000239664","RP5-857K21.3",0,0,0,0,0,0
"33","ENSG00000230021","RP5-857K21.4",0,1,1,0,0,0
"34","ENSG00000223659","RP5-857K21.5",0,0,0,0,0,0
"35","ENSG00000225972","MTND1P23",7,4,7,15,4,22
"36","ENSG00000225630","MTND2P28",421,421,29,1625,404,54
"37","ENSG00000237973","hsa-mir-6723",795,811,542,1921,576,1141
"38","ENSG00000229344","RP5-857K21.7",29,15,19,58,14,38
"39","ENSG00000240409","MTATP8P1",5,3,5,15,3,14
"40","ENSG00000248527","MTATP6P1",2039,2182,30,9730,1778,51
"41","ENSG00000198744","RP5-857K21.11",39,21,34,101,26,49
"42","ENSG00000268663","WBP1LP6",0,0,0,0,0,0
"43","ENSG00000185097","OR4F16",0,0,0,0,0,0
"44","ENSG00000229376","CICP3",0,0,0,0,0,0
"45","ENSG00000224956","RP11-206L10.1",11,6,8,19,5,10
"46","ENSG00000235373","RP11-206L10.3",5,3,2,11,4,7
"47","ENSG00000223181","RNU6-1199P",0,0,0,0,0,0
"48","ENSG00000240618","RP11-206L10.5",0,0,0,2,0,0
"49","ENSG00000229905","RP11-206L10.4",0,0,0,0,0,0
"50","ENSG00000228327","RP11-206L10.2",12,28,6,27,12,35
"51","ENSG00000237491","RP11-206L10.9",24,22,8,54,22,45
"52","ENSG00000230092","RP11-206L10.8",5,6,9,11,0,4
"53","ENSG00000269831","AL669831.1",0,1,1,0,0,3
"54","ENSG00000240453","RP11-206L10.10",0,0,0,1,0,0
"55","ENSG00000177757","FAM87B",4,8,4,10,7,11
"56","ENSG00000225880","LINC00115",5,6,7,29,10,13
"57","ENSG00000228794","LINC01128",91,106,61,136,29,144
"58","ENSG00000230368","FAM41C",0,0,2,0,0,0
"59","ENSG00000234711","TUBB8P11",0,0,0,0,0,0
"60","ENSG00000269308","AL645608.2",0,0,0,0,0,0
"61","ENSG00000272438","RP11-54O7.16",0,0,0,0,0,2
"62","ENSG00000230699","RP11-54O7.1",1,0,1,1,0,4
"63","ENSG00000241180","RP11-54O7.2",0,0,0,0,0,0
"64","ENSG00000223764","RP11-54O7.3",2,0,0,3,1,11
"65","ENSG00000187634","SAMD11",1,1,0,3,0,0
"66","ENSG00000268179","AL645608.1",0,0,0,0,0,0
"67","ENSG00000188976","NOC2L",234,358,355,1394,289,1099
"68","ENSG00000187961","KLHL17",50,131,62,265,68,193
"69","ENSG00000187583","PLEKHN1",26,41,15,48,16,66
"70","ENSG00000187642","C1orf170",4,6,2,8,3,11
"71","ENSG00000272512","RP11-54O7.17",0,4,0,0,0,2
"72","ENSG00000188290","HES4",1,14,5,0,0,4
"73","ENSG00000231702","RP11-54O7.10",0,0,0,1,0,3
"74","ENSG00000224969","RP11-54O7.11",0,0,1,0,0,1
"75","ENSG00000187608","ISG15",137,390,346,190,28,94
"76","ENSG00000188157","AGRN",1080,1490,458,5755,953,1642
"77","ENSG00000242590","RP11-54O7.14",0,0,0,0,0,0
"78","ENSG00000217801","RP11-465B22.3",67,95,30,27,39,51
"79","ENSG00000273443","RP11-54O7.18",11,10,2,9,4,11
"80","ENSG00000237330","RNF223",0,0,0,0,0,0
"81","ENSG00000131591","C1orf159",64,83,45,185,40,99
"82","ENSG00000223823","RP11-465B22.5",0,0,0,0,0,0
"83","ENSG00000207730","MIR200B",0,0,1,0,0,0
"84","ENSG00000207607","MIR200A",0,0,0,0,0,0
"85","ENSG00000198976","MIR429",0,0,0,0,0,0
"86","ENSG00000272141","RP11-465B22.8",0,0,0,0,1,1
"87","ENSG00000205231","TTLL10-AS1",0,0,0,0,0,0
"88","ENSG00000162571","TTLL10",2,2,0,0,0,0
"89","ENSG00000186891","TNFRSF18",219,285,67,90,33,66
"90","ENSG00000186827","TNFRSF4",110,98,28,420,32,62
"91","ENSG00000078808","SDF4",853,1292,845,3044,674,2055
"92","ENSG00000176022","B3GALT6",100,110,100,373,41,191
"93","ENSG00000184163","FAM132A",3,12,10,5,8,25
"94","ENSG00000260179","RP5-902P8.12",4,10,1,11,3,11
"95","ENSG00000160087","UBE2J2",266,450,240,817,200,611
"96","ENSG00000230415","RP5-902P8.10",3,15,4,8,6,11
"97","ENSG00000162572","SCNN1D",36,64,19,68,41,78
"98","ENSG00000131584","ACAP3",206,376,129,1889,309,775
"99","ENSG00000169972","PUSL1",24,55,23,110,28,79
"100","ENSG00000127054","CPSF3L",558,768,374,1398,414,1160
"101","ENSG00000240731","RP5-890O3.9",22,21,13,44,12,41
"102","ENSG00000224051","GLTPD1",90,131,64,374,70,246
"103","ENSG00000169962","TAS1R3",5,6,3,4,1,7
"104","ENSG00000107404","DVL1",217,310,194,658,187,529
"105","ENSG00000162576","MXRA8",28,15,7,101,15,30
"106","ENSG00000175756","AURKAIP1",203,329,230,649,152,459
"107","ENSG00000223663","RP5-890O3.3",0,2,0,1,0,1
"108","ENSG00000221978","CCNL2",1480,1457,1219,2334,709,3115
"109","ENSG00000224870","RP4-758J18.2",77,104,61,173,60,182
